Annotations/Genomes	Arcbor1	Arcfin1	Neoirr1	Pneca1	Pneji1	Pnejir1	Proin1	Prola1	Saico1	Schcy1	Schja1	Schoc1	Schpo1	Tapde1_1	Tappo1	Annotation Description
GH132			2		1			2	2	3	3	3	3	1	2	Glycoside Hydrolase Family 132
GH133			2		1			1	1					1	1	Glycoside Hydrolase Family 133
GH135														2	3	Glycoside Hydrolase Family 135
GH152															1	Glycoside Hydrolase Family 152
GT			73		36			78	79	61	61	61	62	49	73	Glycosyl Transferase family
GT1			2		2			3	4	2	2	2	2	1	3	GlycosylTransferase Family 1
GT2			10		2			10	12	4	4	4	4	4	11	GlycosylTransferase Family 2
GT3			1		1			1	1					1	1	GlycosylTransferase Family 3
GT4			3		3			3	4	3	3	3	3	4	4	GlycosylTransferase Family 4
GT5			2					1	1	5	5	5	5	1	3	GlycosylTransferase Family 5
GT8			3		2			5	5	3	2	3	3	5	6	GlycosylTransferase Family 8
GT15			7					5	5	6	6	6	6	3	4	GlycosylTransferase Family 15
GT20			4		2			3	3	5	6	5	5	1	3	GlycosylTransferase Family 20
GT21					1			1	1					1	1	GlycosylTransferase Family 21
GT22			1		2			4	5	4	4	4	4	3	4	GlycosylTransferase Family 22
GT24			2		1			1	1	1	1	1	1		1	GlycosylTransferase Family 24
GT25			8					1	1					1		GlycosylTransferase Family 25
GT31			2					10	6	1	1	1	1	4	4	GlycosylTransferase Family 31
GT32			3		2			7	4	5	3	5	4	6	6	GlycosylTransferase Family 32
GT33			1		2			1	1	1	1	1	1	1	1	GlycosylTransferase Family 33
GT34			5					4	4	5	7	5	7	2	2	GlycosylTransferase Family 34
GT35			3		2			1	1							GlycosylTransferase Family 35
GT39			3		4			3	3	3	3	3	3	2	3	GlycosylTransferase Family 39
GT48			1		1			1	1	4	4	4	4		1	GlycosylTransferase Family 48
GT50			1		1			1	1	1	1	1	1	1		GlycosylTransferase Family 50
GT57			2		4			2	2	2	2	2	2	1	2	GlycosylTransferase Family 57
GT58					1			1	1	1	1	1	1	1	1	GlycosylTransferase Family 58
GT59			1		2			1	1	1	1	1	1	1	1	GlycosylTransferase Family 59
GT62			3					3	3	2	2	2	2	1	3	GlycosylTransferase Family 62
GT66			1		1			1	1	1	1	1	1	1	1	GlycosylTransferase Family 66
GT69									2							GlycosylTransferase Family 69
GT71			4					3	3					1	4	GlycosylTransferase Family 71
GT76								1	1	1	1	1	1	1	1	GlycosylTransferase Family 76
GT90									1					1	2	GlycosylTransferase Family 90
Myosin_motor			2					1	1							Glycosyltransferase Family 2
PL								2								Polysaccharide Lyase family
PL4								2								Polysaccharide Lyase Family 4
PL4_1								2								Polysaccharide Lyase Family 4 / Subf 1
