Annotations/Genomes	DiorN22417_1	Disdec1	Disorn1	EctrN5525_1	HabiNA12553_1	HaliN2525_1	HapNA10739_1	HapNA10996_1	HaspN3175_1	Lobtra1	MoalAD071_1	MoalAD072_1	MoalCK1249_1	MoalGBA31_1	MoalN66262_1	MoamBC1065_1	MoamBC1291_1	MoanKOD1229_1	MobeAD1040_1	MocaN2610_1	MochAD033_1	MochN2769_1	MoclAM1000_1	MoclKOD947_1	MoclN2760_1	Mocy1230_1	MoeAD073_1	MoeNVP64_1	MoelGBA34_1	MoelGBA40_1	MoelNVP5_1	MoelNVP71_1	MoepAD058_1	MoepKOD1059_1	MoepN5512_1	MoexN28262_1	MogaAD045_1	MogaNVP60_1	MoglAD054_1	MoglREB010B_1	MohoAD009_1	MohoCK413_1	MohuKOD1050_1	MohyN2591_1	MomiAD069_1	MomiNVP1_1	MomuN6456_1	MopoKOD948_1	MorAD185_1_1	MorGBAus27b_1	Moralp1_1	Moramb1	Moramoe1	Morcap1	MoreMES2147_1	Morel2	Morel_U14_1	Morgam1	Morhum1	Mormin1_1	Mormul1	Morsel1	Morve1	Morwol1	MoscN6426_1	Mosp14UC_1	MospAD010_1	MospAD011_1	MospAD031_1	MospAD032_1	MospAD094_1	MospAM989_1	MospGBA30_1	MospGBA35_1	MospGBA39_1	MospGBA43_1	MospKOD1030_1	MospNVP41_1	MospNVP85_1	MoveAD079_1	MoveN2611_1	MoveTTC192_1	MowoN66265_1	MozyN2592_1	MozyPUSTF9C_1	Annotation Description
GT20		5	9							5																	4	4																					6	6	5	3	5	3		4	4	4	6	7	5	5	6	3																						GlycosylTransferase Family 20
GT21		2	2							2																	2	2																					1	2	2	1	2	1		2	2	2	2	2	2	1	2	1																						GlycosylTransferase Family 21
GT22		4	4							4																	4	4																					4	4	4	4	4	4		4	4	4	4	4	4	5	4	4																						GlycosylTransferase Family 22
GT23																																																										2																												GlycosylTransferase Family 23
GT24		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1		1	1	1	2	1																						GlycosylTransferase Family 24
GT31		3	3							3																	3	3																					3	3	4	2	3	3		3	3	3	3	2	3	3	3	2																						GlycosylTransferase Family 31
GT32		1	1							2																	2	2																					2	2	2	1	1	1		2	2	2	1	1	2	2	1	1																						GlycosylTransferase Family 32
GT33		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1	1	1	1	1	1	1																						GlycosylTransferase Family 33
GT34		3	4							2																	4	4																					3	3	2	4	2	2		4	4	3	1	2	2	3	2	1																						GlycosylTransferase Family 34
GT35		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1		1	1	1	1	1																						GlycosylTransferase Family 35
GT37			1																																																																																			GlycosylTransferase Family 37
GT39		8	9							7																	9	9																					10	8	9	5	10	5		9	9	10	9	9	6	10	9	5																						GlycosylTransferase Family 39
GT41		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1	1	1	1	1	1	1																						GlycosylTransferase Family 41
GT47		2	2							2																																							3	2	2	2	2	2					1		2		1	1																						GlycosylTransferase Family 47
GT48		2	2							2																	2	3																					1	2	2	1	2	1		3	3	2	3	2	2	2	2	1																						GlycosylTransferase Family 48
GT49		7	7							6																	7	7																					5	5	7	5	7	5		7	7	7	5	6	7	5	7	5																						GlycosylTransferase Family 49
GT50		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1	1	1	1	1	1	1																						GlycosylTransferase Family 50
GT57		2	2							2																	2	2																					3	2	2	4	2	2		2	2	2	2	2	2	2	2	3																						GlycosylTransferase Family 57
GT58		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1	1	1	2	1	1	1																						GlycosylTransferase Family 58
GT59		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1	1	1	1	1	1	1																						GlycosylTransferase Family 59
GT62										1																	2	2																					1	1	3	1	4	2		2	2	5	2	3	1	1	2	1																						GlycosylTransferase Family 62
GT66		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1	1	1	1	1	1	1																						GlycosylTransferase Family 66
GT68																																																											1				1																							GlycosylTransferase Family 68
GT69																											1																																				1																							GlycosylTransferase Family 69
GT71		4	5							4																	6	7																					5	6	4	3	4	3		8	7	7	4	4	5	4	9	3																						GlycosylTransferase Family 71
GT76		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1	1	1	1	1	1	1																						GlycosylTransferase Family 76
Myosin_motor		3	3							2																	3	3																					2	3	3	3	3	3		3	3	3	3	3	3	3	3	3																						Glycosyltransferase Family 2
PL38		3																									3																						3		4	1	4	1				3		3		3		1																						Polysaccharide Lyase Family 38
PL38_dist																																																						1																																
PL		3	3							2																	5	5																					2	3	3	1	4	1		6	5	4	5	5	4	3	6	1																						Polysaccharide Lyase family
PL3																											2	2																						1	1		1			3	2	1	1				1																							Polysaccharide Lyase Family 3
PL3_2																											2	2																						1	1		1			2	2	1	1				1																							Polysaccharide Lyase Family 3 / Subf 2
PL14		3	3							2																	3	3																					2	2	2	1	3	1		3	3	3	4	5	4	3	5	1																						Polysaccharide Lyase Family 14
PL14_3		1	2							1																	1	2																					2	2	1	1	1	1		2	2	2	2	3	2	1	2																							Polysaccharide Lyase Family 14 / Subf 3
PL14_5																																																																1																						Polysaccharide Lyase Family 14 / Subf 5
