KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	FUNCTIONAL.GROUP	REFERENCE	TROPHIC.MODE_funguild	GUILD_funguild	CONF_funguild	FORM_funguild	TRAIT_funguild	NOTES_funguild	CITATION_funguild
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	ECM.PEROX	Miyauchi et al. 2020	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	SAP.NONLIG	Nagy et al. 2016	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Epiphyt-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	NULL	Cause of soft-rot (Seehann et al. 1975)	"Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Andrews JH, et al. 1983. Phytopathology 73:228-234; Hanada RE, et al. 2010. Fungal Biology 114:901-910; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx}"
Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Gloniaceae	Cenococcum	ECM.NOPEROX	Floudas et al. 2012; Kohler et al. 2015; Nagy et al. 2016; Miyauchi et al. 2020	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	ECM.NOPEROX	Nguyen et al. 2016	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	Sensu stricto (Matheny 2009).	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Matheny PB. 2009. McIlvainea 18:11-21; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	ECM.PEROX	Miyauchi et al. 2020	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	ECM.PEROX	De Crop et al. 2017	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga}
Fungi	Basidiomycota	Agaricomycetes	Gomphales	Gomphaceae	Ramaria	SAP.LIG	Entwistle et al. 2018	Symbiotroph	Ectomycorrhizal	Possible	Clavarioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (ECM/(not ECM);Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html (ECM)}"
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Craterellus	ECM.NOPEROX	Nagy et al. 2016	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	ECM.NOPEROX	Nguyen et al. 2016	Symbiotroph	Ectomycorrhizal	Highly Probable	Corticioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Membranomyces	ECM.NOPEROX	Nguyen et al. 2016	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263}"
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Scabropezia	ECM.PEROX	Floudas et al. 2012; Nagy et al. 2016	Symbiotroph	Ectomycorrhizal	Possible	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (ECM)}"
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	OTHER	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Pathotroph	Animal Pathogen	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	ECM.PEROX	Bšdeker et al. 2009; Miyauchi et al. 2020	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016	Saprotroph-Symbiotroph	Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph	Possible	Pezizoid	NULL	"Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte)}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	OTHER.MYCORRHIZA	Sietzman et al. 2011; Nguyen et al. 2016; Entwistle et al. 2018	Saprotroph-Symbiotroph	Undefined Saprotroph-Undefined Biotroph	Probable	Agaricoid	NULL	"Previously classified as Hygrophorus; carbon signature suggests biotrophy with bryophytes, grasses, or understory plants"	"Tedersoo L, et al. 2014. Science 346:1256688;Lodge et al. 2014. Fungal Diversity 64:1-99; Lodge 2014. Omphalina 5:2-6; Seitzman et al. 2011. Mycologia 103:280-290.}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Gliophorus	OTHER.MYCORRHIZA	Nguyen et al. 2016	Saprotroph-Symbiotroph	Undefined Saprotroph-Undefined Symbiotroph	Highly Probable	Agaricoid	NULL	"Previously classified as Hygrocybe; carbon signature suggests biotrophy with bryophytes, grasses, or understory plants"	"Lodge J. et al. 2014. Fungal Diversity 64:1-99; Lodge J. 2014. Omphalina 5:2-6; Seitzman BH, et al. 2011. Mycologia 103:280-290.}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	SAP.NONLIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	Clavarioid	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	ECM.NOPEROX	Miyauchi et al. 2020	Symbiotroph	Ectomycorrhizal	Highly Probable	Hydnoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	SAP.NONLIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	OTHER.MYCORRHIZA	Kohler et al. 2015; Nagy et al. 2016; Miyauchi et al. 2020	Symbiotroph	Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph	Possible	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html; Weiss et al. doi: 10.1111/nph.13977 (many guilds)}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Porotheleaceae	Porotheleum	OTHER		NA	NA	NA	NA	NA	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Pseudoomphalina	SAP.NONLIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	ECM.NOPEROX	Miyauchi et al. 2020	Pathotroph-Symbiotroph	Ectomycorrhizal-Fungal Parasite	Highly Probable	Agaricoid	NULL	"Tricholoma species are ectomycorrhizal, occurring in coniferous and broadleaved forests (Cannon & Kirk 2007); T. sclerotoideum is parasitic on Helvella spp."	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	Rigidoporus	SAP.LIG	Nguyen et al. 2016	Saprotroph	Wood Saprotroph	Highly Probable	Polyporoid	White Rot	NULL	"Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo}"
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Humaria	ECM.NOPEROX	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Geoglossomycetes	Geoglossales	Geoglossaceae	Geoglossum	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Phialocephala	OTHER	Floudas et al. 2012; Nagy et al. 2016	Symbiotroph	Endophyte	Highly Probable	NULL	NULL	"Dark Septate Endophyte, known from plant roots."	Newsham 2011. New Phytologist 190:783-793 (as DSE)}
Fungi	Ascomycota	Leotiomycetes	Helotiales	sedis	Leptodontidium	OTHER	Nguyen et al. 2016	Symbiotroph	Endophyte	Highly Probable	NULL	NULL	"Dark Septate Endophyte, known from plant roots."	"Jumpponen A, Trappe J. 1998. New Phytologist 140:295-310 (as DSE); Taylor DL, et al. 2014. Ecological Monographs 84:3-20.}"
Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	ECM.NOPEROX	Nagy et al. 2016; Miyauchi et al. 2020	Symbiotroph	Ectomycorrhizal	Highly Probable	Gasteroid	NULL	Common name - puffball	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus	ECM.PEROX	Bšdeker et al. 2009; Nguyen et al. 2016	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	OTHER	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx}
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Humidicutis	OTHER.MYCORRHIZA	Nguyen et al. 2016	Saprotroph-Symbiotroph	Undefined Saprotroph-Undefined Biotroph	Probable	NULL	NULL	"previously classified as Hygrocybe; carbon signature suggests biotrophy with bryophytes, grasses, or understory plants"	"Tedersoo L, et al. 2014. Science 346:1256688;Lodge et al. 2014. Fungal Diversity 64:1-99; Lodge 2014. Omphalina 5:2-6; Seitzman et al. 2011. Mycologia 103:280-290.}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavulinopsis	SAP.NONLIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	Clavarioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	OTHER	Nguyen et al. 2016	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Soil Saprotroph	Possible	NULL	NULL	"It is important to note that the majority of species that comprise this genus, including the White-Nose Bat Syndrome causing Pseudogymnoascus destructans, were once placed in the genus Geomyces (see Minnis & Lindner 2013),and including Pseudogymnoascus panorum (as Geomyces panorum) that had been widely applied to a number of isolates from cold places, including those found in soil, on living roots, hypersaline lakes, keratinaceous substrates, and skin lesions of animals (perhaps as a weak pathogen); however, the true identity of Geomyces panorum (now Pseudogymnoascus panorum) is not known (pers.Lindner DL)"	"Minnis AM, Lindner DL. 2013. Fungal Biology 117:638-649; Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Byssocorticium	ECM.NOPEROX	Nguyen et al. 2016	Symbiotroph	Ectomycorrhizal	Highly Probable	Corticioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Saprotroph	Soil Saprotroph	Possible	Microfungus	NULL	From forest soil (Calduch et al. 2002)	"Calduch M, et al. 2002. Mycologia 94:355-361}"
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Ma_inov‡ et al. 2017	NA	NA	NA	NA	NA	NA	NA
Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Saprotroph	Undefined Saprotroph-Wood Saprotroph	Probable	NULL	Soft Rot	NULL	"Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Pachyphloeus	ECM.NOPEROX	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Rhodocollybia	SAP.NONLIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	Agaricoid	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Cuphophyllus	SAP.NONLIG	Nguyen et al. 2016	Saprotroph-Symbiotroph	Undefined Saprotroph-Undefined Symbiotroph	Highly Probable	Agaricoid	NULL	"Previously classified as Hygrocybe; carbon signature suggests biotrophy with bryophytes, grasses, or understory plants"	"Lodge J. et al. 2014. Fungal Diversity 64:1-99; Lodge J. 2014. Omphalina 5:2-6; Seitzman BH, et al. 2011. Mycologia 103:280-290.}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Pseudotricholoma	OTHER		NA	NA	NA	NA	NA	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Athelopsis	SAP.LIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Flagelloscypha	SAP.NONLIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	SAP.NONLIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	Agaricoid	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Protoglossum	ECM.NOPEROX	Nguyen et al. 2016	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	SAP.LIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	Corticioid	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	sedis	sedis	Xenasmatella	SAP.LIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)}"
Fungi	Basidiomycota	Agaricomycetes	Geastrales	Sphaerobolaceae	Sphaerobolus	SAP.LIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	Gasteroid	White Rot	Common name - cannon ball fungus	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Genea	ECM.NOPEROX	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Saprotroph	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Highly Probable	NULL	"Mold, Soft Rot"	NULL	"Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:26; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx}"
Fungi	Ascomycota	Geoglossomycetes	Geoglossales	Geoglossaceae	Glutinoglossum	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Agrocybe	SAP.LIG	Ruiz-Due–as et al. 2020	Saprotroph	Dung Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	Agaricoid	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Boletus	ECM.NOPEROX	Floudas et al. 2012; Kohler et al. 2015; Nagy et al. 2016; Miyauchi et al. 2020	Symbiotroph	Ectomycorrhizal	Highly Probable	Boletoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	Probable	Facultative Yeast	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688, Nagy GL, et al. 2014. Nature Communications 5:4471}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycenella	OTHER		NA	NA	NA	NA	NA	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Clavulina	ECM.NOPEROX	Nagy et al. 2016	Symbiotroph	Ectomycorrhizal	Highly Probable	Clavarioid	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)}"
Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chloridium	OTHER	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal-Endophyte-Plant Pathogen-Wood Saprotroph	Possible	NULL	NULL	NULL	"Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645;  Jumpponen A, Trappe J. 1998. New Phytologist 140:295-310; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Steccherinum	SAP.LIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	Corticioid	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Calcarisporiellomycota	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	Microfungus	NULL	NULL	De Hoog GS. 1974. Studies in Mycology 7:1-84}
